iter	RMSE
0	11.4181506
1	10.70667743
2	10.13454933
3	9.517411901
4	8.989447383
5	8.53693184
6	8.141028727
7	7.703220222
8	7.294046932
9	6.970831646
10	6.644782503
11	6.370136006
12	6.084603731
13	5.78598158
14	5.522577037
15	5.311214479
16	5.091130307
17	4.855559796
18	4.701577938
19	4.535360524
20	4.421314845
21	4.283097094
22	4.140561661
23	4.034081644
24	3.923150433
25	3.809190824
26	3.709386671
27	3.584605559
28	3.444863765
29	3.3436639
30	3.282635165
31	3.179577369
32	3.106484087
33	3.010673865
34	2.936671499
35	2.866944334
36	2.819223164
37	2.753404119
38	2.682767318
39	2.639051565
40	2.590881725
41	2.535490224
42	2.50279066
43	2.427801291
44	2.404113536
45	2.360751211
46	2.323705901
47	2.282835779
48	2.241758764
49	2.208930158
50	2.172208715
51	2.124707862
52	2.114335045
53	2.078344476
54	2.045373003
55	2.024381065
56	2.001174759
57	1.971090854
58	1.940963146
59	1.923747907
60	1.903784959
61	1.88644625
62	1.871309876
63	1.837465976
64	1.821954673
65	1.807226513
66	1.782092567
67	1.756264501
68	1.725760414
69	1.700876515
70	1.680829057
71	1.654003433
72	1.627191649
73	1.608534083
74	1.59654253
75	1.566502015
76	1.544071389
77	1.525141505
78	1.516392207
79	1.509072731
80	1.499479994
81	1.48722333
82	1.465392158
83	1.444385196
84	1.438049757
85	1.431250714
86	1.415574995
87	1.411782788
88	1.396872408
89	1.377610559
90	1.372460372
91	1.359468903
92	1.342271662
93	1.322172147
94	1.308795236
95	1.287992337
96	1.272985807
97	1.261751129
98	1.243506281
99	1.234235438
