iter	Passed	Remaining
0	2	216
1	4	222
2	6	222
3	11	278
4	15	287
5	17	274
6	20	270
7	22	260
8	27	273
9	29	268
10	32	260
11	34	251
12	36	244
13	39	244
14	42	243
15	44	236
16	47	230
17	49	224
18	51	219
19	56	225
20	58	221
21	61	216
22	63	211
23	65	207
24	69	207
25	72	206
26	74	201
27	76	197
28	78	193
29	81	189
30	86	192
31	88	189
32	91	185
33	94	182
34	98	182
35	102	181
36	104	177
37	107	174
38	109	171
39	115	173
40	118	170
41	120	166
42	123	163
43	125	159
44	151	185
45	153	180
46	156	176
47	162	175
48	165	172
49	167	167
50	170	163
51	177	163
52	179	159
53	182	155
54	184	151
55	189	148
56	193	146
57	196	141
58	198	138
59	201	134
60	206	132
61	209	128
62	211	124
63	214	120
64	220	118
65	223	115
66	227	111
67	229	108
68	240	107
69	242	103
70	244	99
71	247	96
72	251	93
73	253	89
74	255	85
75	258	81
76	260	77
77	262	74
78	266	70
79	268	67
80	270	63
81	273	60
82	275	56
83	280	53
84	282	49
85	284	46
86	287	42
87	289	39
88	294	36
89	296	32
90	298	29
91	301	26
92	303	22
93	306	19
94	309	16
95	311	12
96	313	9
97	316	6
98	318	3
99	322	0
